Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
11,extend,1000,true,uniform,EXTEND,10006,23971105,7996416,7719695,71634,109926,61745,0,0,0,1495,1458,5102487,9154901,115663985,491375895,21895590,1434937,419566928369,486082770,44409675,3991787,0,0,0,0,1,4382,2282.0629849383845,9989,412.86465111622783,286,28495,730,991,9989,11
11,run,1000,true,uniform,READ,10006,26746124,8940670,8662764,71634,109926,61745,0,0,0,1495,1458,5102487,9154901,115663985,491375895,21895590,1434937,419566941835,486082984,44409675,3991787,1,0,0,0,0,4722,21177.467174925878,99882,44.22145131254881,32,11487,74,106,99882,118
11,reference,1000,true,uniform,READ,168,3331330,1137586,1113654,1119,1,0,0,0,0,1495,1458,5102487,9154901,115663985,491375895,21895590,1434937,419566941835,486082984,44409675,3991787,1,0,0,0,0,2448,40849.67320261438,100000,21.4616,16,10007,43,76,100000
11,clean-run,1000,true,uniform,READ,1649,2790857,934241,933155,9367,1,0,0,0,0,1495,1459,5111489,9154901,115668580,491378465,21895633,1434939,419584625436,486101424,44410610,3992614,1,0,0,0,0,4454,22451.7287831163,99886,41.582003483971725,30,11111,67,116,99886,114
11,avg-run,1000,true,uniform,READ,3389,5847885,1938665,1934667,19380,5,0,0,0,0,1495,1459,5111489,9154901,115668580,491380205,21895633,1434939,419598280639,486124014,44410613,3992614,1,0,0,0,0,4320,23148.14814814815,100000,40.19309,33,10367,65,101,100000
12,extend,1000,true,uniform,EXTEND,10006,27207691,9093953,8791624,80665,119920,70362,0,0,0,1495,1459,5111489,9154901,115668580,491380205,21895633,1434939,419634438057,486187023,44414278,3992614,0,0,0,0,1,4271,2341.3720440177945,9994,402.89233540124076,286,28847,714,955,9994,6
12,run,1000,true,uniform,READ,10006,30048624,10079614,9776101,80665,119920,70362,0,0,0,1495,1459,5111489,9154901,115668580,491380205,21895633,1434939,419634452593,486187251,44414278,3992614,1,0,0,0,0,4809,20794.343938448743,99913,45.05050393842643,33,11351,66,115,99913,87
12,reference,1000,true,uniform,READ,168,3633792,1240839,1214884,1119,1,0,0,0,0,1495,1459,5111489,9154901,115668580,491380205,21895633,1434939,419634452593,486187251,44414278,3992614,1,0,0,0,0,2424,41254.12541254125,100000,21.14299,16,9903,43,58,100000
12,clean-run,1000,true,uniform,READ,1784,2857096,975201,974115,9775,1,0,0,0,0,1495,1460,5116894,9154901,115672288,491382910,21895660,1434942,419653195032,486206544,44415213,3993583,1,0,0,0,0,4554,21958.717610891523,99898,42.542563414682974,33,11503,60,117,99898,102
12,avg-run,1000,true,uniform,READ,3524,5914054,1979604,1975606,19788,5,0,0,0,0,1495,1460,5116894,9154901,115672288,491384650,21895660,1434942,419667850181,486229133,44415216,3993583,1,0,0,0,0,4377,22846.69865204478,100000,40.81384,33,10751,56,101,100000
