Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
9,clean-run,1000,true,uniform,READ,1472,2540044,907646,905688,9433,1,0,0,0,0,1382,330,484969,582780,2240333,15857817,5667166,2480,9879633382,24184359,558352,21961,1,0,0,0,0,4607,21706.099413935317,0,100000,42.76715,26,10527,78,170,100000
9,avg-run,1000,true,uniform,READ,2980,5593501,1912551,1908550,19433,5,0,0,0,0,1382,330,484969,582780,2240333,15859321,5667166,2480,9891206341,24205417,558354,21961,1,0,0,0,0,4457,22436.61655822302,0,100000,41.1839,32,11575,58,123,100000
10,extend,1000,true,zipfian,EXTEND,23853,20066901,7494328,7244851,127189,100023,117201,0,0,0,1382,330,484969,582843,2240333,15862149,5667166,2480,9946549655,24306399,562360,21961,0,0,0,0,1,5129,1949.6977968414897,0,10000,484.5028,285,27023,1021,1545,10000
10,run,1000,true,uniform,READ,23855,22672401,8455827,8205168,127189,100023,117201,0,0,0,1382,330,484969,582865,2240333,15862193,5667166,2480,9946566429,24306664,562360,21961,1,0,0,0,0,5194,19252.984212552947,0,100000,48.58899,28,14671,86,185,100000
10,reference,1000,true,uniform,READ,184,3028852,1034333,1012424,1119,1,0,0,0,0,1382,330,484969,582865,2240333,15862241,5667166,2480,9946566429,24306664,562360,21961,1,0,0,0,0,2565,38986.35477582846,0,100000,22.29517,17,9831,46,81,100000
10,clean-run,1000,true,uniform,READ,1537,2611697,949151,948064,9496,1,0,0,0,0,1382,331,493220,583472,2243723,15865515,5667205,2483,9963264261,24325351,563295,22622,1,0,0,0,0,4597,21753.317380900586,0,100000,42.71911,27,9799,71,155,100000
10,avg-run,1000,true,uniform,READ,3052,5667761,1953578,1949577,19509,5,0,0,0,0,1382,331,493220,583472,2243723,15867029,5667205,2483,9975926784,24347726,563298,22622,1,0,0,0,0,4546,21997.360316761988,0,100000,42.18247,33,10407,59,133,100000
11,extend,1000,true,zipfian,EXTEND,27665,23231172,8763175,8488148,150304,110023,139854,0,0,0,1382,331,493220,583515,2243723,15870777,5667205,2483,10043850919,24453080,567982,22622,0,0,0,0,1,5213,1918.2812200268559,0,10000,493.1585,291,27071,1036,1542,10000
11,run,1000,true,uniform,READ,28509,25915561,9768658,9492456,150304,110023,139854,0,0,0,1382,331,493220,583552,2243723,15871640,5667205,2483,10043866099,24453321,567982,22622,1,0,0,0,0,5340,18726.591760299627,0,100000,50.02877,29,10711,89,195,100000
11,reference,1000,true,uniform,READ,245,3331253,1137586,1113654,1119,1,0,0,0,0,1382,331,493220,583552,2243723,15871671,5667205,2483,10043866099,24453321,567982,22622,1,0,0,0,0,2570,38910.505836575874,0,100000,22.34091,16,10743,45,83,100000
11,clean-run,1000,true,uniform,READ,1742,2707768,1000883,998925,10377,1,0,0,0,0,1382,332,502253,583970,2247268,15875573,5667249,2486,10062547553,24475169,568918,23734,1,0,0,0,0,4831,20699.6481059822,0,100000,44.96481,28,11271,77,182,100000
