Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
7,run,1000,true,zipfian,READ,7425,16324821,8675991,8505324,70123,70023,61636,0,0,0,1402,598,2553981,1768332,16299469,40830379,6482313,35854,75014804618,111954143,6531290,964496,1,0,0,0,0,6597,15158.405335758678,0,100000,62.49355,26,13287,184,393,100000
7,reference,1000,true,zipfian,READ,168,2121617,724701,708861,1119,1,0,0,0,0,1402,598,2553981,1768332,16299469,40830379,6482313,35854,75014804618,111954143,6531290,964496,1,0,0,0,0,2702,37009.622501850485,0,100000,23.44541,16,22991,48,89,100000
7,clean-run,1000,true,zipfian,READ,1203,2710564,1700186,1698228,8381,1,0,0,0,0,1402,599,2559222,1768332,16301876,40832503,6482340,35856,75029043214,111971424,6532226,965102,1,0,0,0,0,6350,15748.031496062993,0,100000,60.15701,24,12071,200,408,100000
7,avg-run,1000,true,zipfian,READ,2377,5458385,2604951,2600950,17381,5,0,0,0,0,1402,599,2559222,1768332,16301876,40833677,6482340,35856,75038466995,111990480,6532228,965102,1,0,0,0,0,4407,22691.17313365101,0,100000,40.59295,30,10511,76,147,100000
8,extend,1000,true,zipfian,EXTEND,9785,16814979,8916160,8720826,87314,80023,78297,0,0,0,1402,599,2559222,1768332,16301876,40836037,6482340,35856,75094400632,112079669,6536046,965102,0,0,0,0,1,4895,2042.9009193054137,0,10000,460.6994,275,26159,889,1479,10000
8,run,1000,true,zipfian,READ,9785,19628897,10814010,10617473,87314,80023,78297,0,0,0,1402,599,2559222,1768332,16301876,40836037,6482340,35856,75094424002,112080039,6536046,965102,1,0,0,0,0,7137,14011.489421325487,0,100000,67.8638,26,22079,207,428,100000
8,reference,1000,true,zipfian,READ,168,2424079,827954,810091,1119,1,0,0,0,0,1402,599,2559222,1768332,16301876,40836037,6482340,35856,75094424002,112080039,6536046,965102,1,0,0,0,0,2646,37792.894935752076,0,100000,23.02354,16,10679,46,98,100000
8,clean-run,1000,true,zipfian,READ,1336,2847624,1888660,1886702,8909,1,0,0,0,0,1402,600,2566209,1768332,16306932,40838294,6482369,35865,75109781420,112098526,6536982,965553,1,0,0,0,0,6555,15255.530129672006,0,100000,62.283,26,13799,207,396,100000
8,avg-run,1000,true,zipfian,READ,2621,5595677,2793493,2789492,17909,5,0,0,0,0,1402,600,2566209,1768332,16306932,40839579,6482369,35865,75120205143,112117581,6536984,965553,1,0,0,0,0,4472,22361.359570661898,0,100000,41.28596,30,15295,77,123,100000
9,extend,1000,true,zipfian,EXTEND,13859,20145133,11084942,10863902,107250,90023,97757,0,0,0,1402,600,2566209,1769074,16306932,40843653,6482369,35865,75177592483,112214007,6540506,965553,0,0,0,0,1,5042,1983.3399444664815,0,10000,476.3655,284,25599,962,1510,10000
