Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
11,reference,1000,true,zipfian,READ,172,3331504,1138600,1113798,1119,1,0,0,0,0,1404,729,3523729,2610978,25746828,53894564,7867535,40990,113150414494,165703885,9732034,1373153,1,0,0,0,0,3308,30229.74607013301,0,100000,29.43126,17,11279,58,109,100000
11,clean-run,1000,true,zipfian,READ,1654,2796315,939005,937051,9379,1,0,0,0,0,1404,730,3528593,2610978,25751113,53897139,7867556,40995,113168100452,165722346,9732969,1374183,1,0,0,0,0,5995,16680.567139282735,0,99947,56.229001370726486,34,11519,102,176,99947,53
11,avg-run,1000,true,zipfian,READ,3392,5849679,1942365,1938370,19379,5,0,0,0,0,1404,730,3528593,2610978,25751113,53898877,7867556,40995,113181653441,165743405,9732971,1374183,1,0,0,0,0,5788,17277.125086385626,0,100000,54.15704,34,10983,99,175,100000
12,extend,1000,true,uniform,EXTEND,8944,27365854,9164443,8861718,80763,119939,70456,0,0,0,1404,730,3528593,2610978,25751113,53900509,7867556,40995,113221821240,165806755,9736457,1374183,0,0,0,0,1,5737,1743.071291615827,0,9991,543.101491342208,301,26607,946,1255,9991,9
12,run,1000,true,zipfian,READ,8945,30237718,10153932,9849166,81210,119950,70869,0,0,0,1404,730,3528593,2610978,25751113,53900526,7867556,40995,113226025025,165828184,9738364,1374183,1,0,0,0,0,6582,15192.950470981465,0,99927,62.02252644430434,36,13807,109,185,99927,73
12,reference,1000,true,zipfian,READ,172,3634039,1242737,1215042,1119,1,0,0,0,0,1404,730,3528593,2610978,25751113,53900527,7867556,40995,113226025075,165828185,9738364,1374183,1,0,0,0,0,3623,27601.43527463428,0,100000,32.26896,18,12727,66,128,100000
12,clean-run,1000,true,zipfian,READ,1782,2855255,973983,972897,9779,1,0,0,0,0,1404,731,3535991,2610978,25756475,53903230,7867587,41002,113244767299,165847463,9739299,1375441,1,0,0,0,0,6241,16023.073225444641,0,99915,58.602822399039184,35,11815,106,177,99915,85
12,avg-run,1000,true,zipfian,READ,3522,5912269,1978407,1974409,19792,5,0,0,0,0,1404,731,3535991,2610978,25756475,53904970,7867587,41002,113259422448,165870052,9739302,1375441,1,0,0,0,0,5760,17361.11111111111,0,100000,53.95004,34,11471,98,173,100000
13,extend,1000,true,uniform,EXTEND,8950,30707503,10312596,9982706,90794,129944,79931,0,0,0,1404,731,3535991,2610978,25756475,53904975,7867587,41002,113292455272,165933671,9743167,1375441,0,0,0,0,1,5236,1909.8548510313217,0,9994,494.7462477486492,298,26735,842,1134,9994,6
13,run,1000,true,zipfian,READ,8950,33614208,11353669,11022648,90794,129944,79931,0,0,0,1404,731,3535991,2610978,25756475,53904975,7867587,41002,113292467008,165933852,9743167,1375441,1,0,0,0,0,6688,14952.153110047846,0,99935,63.0509931455446,34,17599,113,187,99935,65
