Key,Run1,Run2,Run3,Run11
"user643709410794525705", 1000, 3600, 4400, 5000
"user643709410794525705", 1000, 3600, 4400, 5000
"user6520889763169322899", 1000, 3400, 3800, 4600
"user6520889763169322899", 1000, 3400, 3800, 4600
"user6525917590482889145", 1000, 2900, 4300, 4700
"user6525917590482889145", 1000, 2900, 4300, 4700
"user6641457628077078866", 1000, 3500, 4000, 4900
"user6641457628077078866", 1000, 3500, 4000, 4900
"user6752434813728457588", 1000, 2400, 3900, 4700
"user6752434813728457588", 1000, 2400, 3900, 4700
"user6867974851322647309", 1000, 3000, 4400, 5000
"user6867974851322647309", 1000, 3000, 4400, 5000
"user6873002678636213555", 1000, 3000, 4500, 5400
"user6873002678636213555", 1000, 3000, 4500, 5400
"user7109110581138159243", 1000, 3000, 3700, 5000
"user7109110581138159243", 1000, 3000, 3700, 5000
"user7114138408451725489", 1000, 3000, 4500, 5200
"user7114138408451725489", 1000, 3000, 4500, 5200
"user7229678446045915210", 1000, 3300, 4900, 5700
"user7229678446045915210", 1000, 3300, 4900, 5700
"user7340655631697293932", 1000, 3100, 3700, 4300
"user7340655631697293932", 1000, 3100, 3700, 4300
"user7456195669291483653", 1000, 3200, 3800, 5100
"user7456195669291483653", 1000, 3200, 3800, 5100
"user7461223496605049899", 1000, 2800, 4200, 5100
"user7461223496605049899", 1000, 2800, 4200, 5100
"user7576763534199239620", 1000, 2900, 3700, 4800
"user7576763534199239620", 1000, 2900, 3700, 4800
"user759249448388715426", 1000, 2700, 3600, 4700
"user759249448388715426", 1000, 2700, 3600, 4700
"user764277275702281672", 1000, 2700, 3800, 4900
"user764277275702281672", 1000, 2700, 3800, 4900
"user7697331399106995587", 1000, 2900, 3600, 4800
"user7697331399106995587", 1000, 2900, 3600, 4800
"user7702359226420561833", 1000, 2600, 3700, 5200
"user7702359226420561833", 1000, 2600, 3700, 5200
"user7817899264014751554", 1000, 2800, 3700, 4800
"user7817899264014751554", 1000, 2800, 3700, 4800
"user7923848622352564030", 1000, 3100, 3800, 5000
"user7923848622352564030", 1000, 3100, 3800, 5000
"user7928876449666130276", 1000, 3700, 4700, 5400
"user7928876449666130276", 1000, 3700, 4700, 5400
"user8049444314573886243", 1000, 2900, 3800, 5200
"user8049444314573886243", 1000, 2900, 3800, 5200
"user8164984352168075964", 1000, 3300, 4300, 5300
"user8164984352168075964", 1000, 3300, 4300, 5300
"user8285552217075831931", 1000, 2900, 3900, 4700
"user8285552217075831931", 1000, 2900, 3900, 4700
"user8290580044389398177", 1000, 3900, 5400, 6700
"user8290580044389398177", 1000, 3900, 5400, 6700
"user8396529402727210653", 1000, 4500, 4500, 6100
"user8396529402727210653", 1000, 4500, 4500, 6100
"user8512069440321400374", 1000, 2800, 4000, 4800
"user8512069440321400374", 1000, 2800, 4000, 4800
"user8517097267634966620", 1000, 2500, 4000, 4400
"user8517097267634966620", 1000, 2500, 4000, 4400
"user8637665132542722587", 1000, 4000, 4500, 5600
"user8637665132542722587", 1000, 4000, 4500, 5600
"user8753205170136912308", 1000, 3400, 3800, 4800
"user8753205170136912308", 1000, 3400, 3800, 4800
"user8758232997450478554", 1000, 3400, 4200, 4700
"user8758232997450478554", 1000, 3400, 4200, 4700
"user8873773035044668275", 1000, 2400, 4200, 4900
"user8873773035044668275", 1000, 2400, 4200, 4900
"user8984750220696046997", 1000, 3000, 3600, 4700
"user8984750220696046997", 1000, 3000, 3600, 4700
"user9100290258290236718", 1000, 2500, 4000, 4600
"user9100290258290236718", 1000, 2500, 4000, 4600
"user9105318085603802964", 1000, 2900, 3800, 4900
"user9105318085603802964", 1000, 2900, 3800, 4900
